	RegionName	StateName	1/31/2019	2/28/2019	3/31/2019	4/30/2019	5/31/2019	6/30/2019	7/31/2019	8/31/2019	9/30/2019	10/31/2019	11/30/2019	12/31/2019	1/31/2020	2/29/2020	3/31/2020	4/30/2020	5/31/2020	lat	lng
176	Olympia, WA	WA	261582	262529	262707	262648	264522	267010	269636	270730	272170	274615	277865	281317	284668	288494	293344	297732	301352	47.0378741	-122.9006951
177	Amarillo, TX	TX	52159	52229	51631	51018	50780	50662	50713	50623	50748	50441	50192	49650	49643	50043	50990	51831	52318	35.2219971	-101.8312969
178	Binghamton, NY	NY	73282	72880	73107	73977	74483	74450	74418	74390	74430	74591	75047	75608	76218	76459	76348	75866	75555	42.09868669999999	-75.91797380000001
179	Hagerstown, WV	MD	117739	118000	118496	119497	120158	120923	121439	122602	123471	124060	124303	124203	124261	124541	125227	125521	125892	39.6417629	-77.71999319999999
180	Bremerton, WA	WA	297514	299947	300837	301829	302263	303830	306185	307433	309129	311533	315640	318636	321759	323971	327754	331877	336085	47.5650067	-122.6269768
181	Laredo, TX	TX	124217	123346	123751	124084	124458	124409	124660	125064	124922	125033	125629	126801	127602	128425	129187	129809	130649	27.5035613	-99.5075519
182	Lynchburg, VA	VA	102070	101976	102357	102612	102983	103281	103713	104060	104421	104683	104765	105257	105694	106180	106333	106574	107006	37.4137536	-79.14224639999999
183	Yakima, WA	WA	98688	99979	99780	99833	100855	102718	103984	104801	104682	105211	106307	107193	108467	110063	112344	114213	115101	46.6020711	-120.5058987
184	Crestview-Fort Walton Beach-Destin, FL	FL	219981	220796	221146	222523	223654	224945	225948	226933	227948	229234	230704	232014	233627	234929	236763	238340	239636	30.7611484	-86.6611083
185	Topeka, KS	KS	47970	48382	48926	49429	49579	49820	50003	50142	50080	50230	50491	50920	51114	51230	51334	51460	51680	39.0473451	-95.67515759999999
186	Macon-Bibb County, GA	GA	43541	43533	43561	43793	44115	44551	44976	45426	45979	46340	46437	46244	46124	46365	46738	46973	47085	32.8406946	-83.6324022
187	Champaign-Urbana, IL	IL	86821	87509	87895	87131	86401	85838	85693	85116	84789	84621	84787	84823	84723	84455	84165	84458	84691	40.1164204	-88.2433829
188	Tuscaloosa, AL	AL	112812	113355	114159	114221	114457	114460	114711	114727	114682	114610	114444	114210	114164	113837	113267	112957	112533	33.2098407	-87.56917349999999
189	College Station, TX	TX	107268	106931	107057	106960	106969	106787	106806	106795	106869	106696	106315	106343	106745	107278	107604	108070	108526	30.627977	-96.3344068
190	Sioux Falls, SD	SD	101367	101598	101741	102418	102912	102453	101457	100521	100992	102301	103954	104745	105466	106569	107673	108409	109011	43.5460223	-96.731265
191	Charleston, WV	WV	65402	65502	65294	65178	64761	64518	64070	64086	63802	63736	63043	62892	62577	62304	61983	61491	61440	38.3498195	-81.6326234
192	Appleton, WI	WI	87176	86783	87197	87777	88355	88536	88553	89219	90092	90759	90963	91513	92173	93530	94615	95818	97254	44.2619309	-88.41538469999999
193	Chico, CA	CA	164867	168682	171248	171931	171764	172759	173469	174205	174571	175707	177011	177498	176130	173825	171894	171071	170479	39.7284944	-121.8374777
194	Charlottesville, VA	VA	161694	162227	163184	164309	164888	165454	166246	167230	167937	168410	168620	169045	169452	169790	169896	169905	170114	38.0293059	-78.47667810000002
195	Claremont, NH	NH	104208	104593	105109	105629	106394	106964	107835	108726	109528	110244	110858	111322	111798	112218	112291	112192	112005	43.3728635	-72.33787439999999
196	Barnstable Town, MA	MA	260615	259119	256964	257000	258714	260917	261609	261278	260453	259691	259551	259716	260771	262211	264320	264943	264939	41.7003208	-70.3002024
197	Longview, TX	TX	95626	95685	96766	98291	99124	99136	98863	98792	98387	97990	97201	96971	96887	96295	95040	92953	90942	32.5007037	-94.74048909999999
198	Burlington, VT	VT	211534	212232	213243	214510	215057	215956	215845	216404	217058	217328	217515	217544	217907	218180	218900	219076	219698	44.4758825	-73.21207199999999
199	Prescott, AZ	AZ	178175	178315	177762	178147	178739	180021	181054	181300	181420	181651	181835	182339	183501	184702	186063	187285	188318	34.5400242	-112.4685025
200	Springfield, IL	IL	45772	45394	45186	44936	45179	45279	45384	45256	45242	45179	45103	45006	44976	44946	44839	44736	44440	39.78172130000001	-89.6501481
201	Tyler, TX	TX	117432	118218	119465	119520	118658	118620	117876	117940	117632	118295	118276	118295	118339	117754	117058	116493	116671	32.3512601	-95.30106239999999
202	Las Cruces, NM	NM	115888	115922	116028	115402	114833	114077	113851	113716	113844	114069	114059	115082	115860	116375	117087	118300	119643	32.3199396	-106.7636538
203	Fargo, ND	ND	122355	122607	122814	122815	121934	121498	121294	121624	121899	122232	122273	122445	122465	122433	122408	122811	123666	46.8771863	-96.7898034
204	Houma, LA	LA	88153	88377	88466	88679	89022	89305	89453	89685	89836	90056	89808	89453	89320	89522	89772	89673	89273	29.5957696	-90.71953479999999
205	Rochester, MN	MN	141314	142123	142793	143446	143482	143752	144285	144912	145702	146508	147027	147633	148228	148805	149272	149872	151018	44.0121221	-92.4801989
206	Florence, SC	SC	32066	32246	32220	32361	32124	32132	32224	32386	32418	32489	32438	32277	32029	31667	31424	31238	31363	34.1954331	-79.7625625
207	Medford, OR	OR	285854	287037	287557	287231	286692	286346	285443	283697	283335	283219	283993	285004	285474	285847	286283	288018	290220	42.3265152	-122.8755949
208	Lafayette-West Lafayette, IN	IN	83560	83917	84231	84734	85397	85945	86327	86576	87069	87793	88476	89057	89302	89746	90233	90542	90684	40.4258686	-86.90806549999999
209	Bellingham, WA	WA	244441	245681	247509	247833	248425	249338	250416	251546	253079	254219	255515	257614	259905	261652	263095	264724	266430	48.7519112	-122.4786854
210	Lake Havasu City, AZ	AZ	90157	90969	91704	92220	93559	94826	96248	97057	97467	98133	98655	99398	100169	101317	102335	103309	103713	34.483901	-114.3224548
211	Saginaw, MI	MI	37306	37684	37729	38062	38669	39441	39861	39968	39982	40112	40068	39840	39739	40065	40697	41361	41753	43.4194699	-83.9508068
212	Lake Charles, LA	LA	77383	77253	77121	77592	78653	79731	80593	80973	81466	82425	82910	83408	83404	83966	84188	84181	83595	30.2265949	-93.2173758
213	Johnson City, TN	TN	97965	99031	100224	100378	100461	100663	101464	102289	103493	104002	103887	103739	103798	103964	103743	103932	103897	36.3134397	-82.3534727
214	Elkhart, IN	IN	79797	79771	80020	80467	80866	81089	81464	82221	83173	83903	84390	84220	84387	84770	85300	85476	85496	41.6819935	-85.9766671
215	Yuma, AZ	AZ	97251	97310	98851	100396	101056	101003	100809	101162	101697	102283	103194	104692	106397	107088	106589	106356	106957	32.6926512	-114.6276916
216	Racine, WI	WI	127129	127782	128631	129502	130950	132137	133547	134501	135022	135498	136299	137081	137583	138291	138580	138826	138421	42.7261309	-87.78285230000002
217	Athens, GA	GA	137214	137699	138603	139293	140245	141344	142314	143266	144509	145791	146523	147219	148376	150102	151627	152858	154136	33.9519347	-83.357567
218	Torrington, CT	CT	119029	118768	119179	119777	119864	119706	119124	119009	118987	118920	119243	119446	120092	120592	120765	120799	121211	41.8003049	-73.1211715
219	St. Cloud, MN	MN	145802	146569	146951	147197	147239	147804	148410	149101	149349	149261	149119	149224	149459	149659	150111	150655	151564	45.5579451	-94.16324039999999
220	Hilton Head Island, SC	SC	311730	312221	312433	313861	315317	315696	315687	316020	316464	316886	317334	318018	319225	320719	321906	322405	322812	32.216316	-80.752608
221	Bloomington, IL	IL	84536	83772	82691	82249	81836	81481	81112	80794	80720	80736	80660	80520	80759	81198	81806	81988	82333	40.4842027	-88.99368729999999
222	Hilo, HI	HI	214390	214859	215169	214160	214474	215178	217276	219247	221477	223600	225408	227219	228603	229960	232009	234543	236507	19.7241106	-155.0868193
223	Panama City, FL	FL	190587	190025	189690	191207	192976	194426	195843	196544	197299	197643	198492	199636	202057	204067	205843	206139	206277	30.1588129	-85.6602058
224	Kingston, NY	NY	175188	175999	177737	179945	181123	180388	179835	180234	181471	182245	182762	182980	183933	184355	184734	184447	184209	41.9270367	-73.9973608
225	Gainesville, GA	GA	151671	152892	153115	152902	151987	151525	151748	152470	153287	153789	154162	154643	155883	156996	158188	159695	161762	34.2978794	-83.8240663
226	Warner Robins, GA	GA	73338	74150	74586	74375	74006	73483	73635	73892	74332	74378	74626	74428	74608	74364	74519	75064	75541	32.6130007	-83.624201
227	Blacksburg, VA	VA	110243	110842	111270	111467	112153	113040	114267	115127	115750	116007	115545	115127	114922	114947	115030	115138	114898	37.2295733	-80.4139393
228	Jacksonville, NC	NC	83281	84531	85786	86749	87333	87722	88662	90952	93330	95402	96062	95914	95075	94073	93492	93293	93406	34.7540524	-77.4302414
229	Redding, CA	CA	132801	133631	133997	135068	135994	137736	140597	142741	144143	144401	144686	145335	146820	148494	150732	152568	154363	40.5865396	-122.3916754
230	Monroe, LA	LA	75442	75960	76552	76916	77158	77615	78329	78696	79102	79142	79211	79591	80301	80736	81100	81594	82262	32.5093109	-92.1193012
231	Joplin, MO	MO	55895	55909	56154	56413	56828	57202	57544	57806	58124	58781	59081	59338	59274	59583	59780	59843	59751	37.08422710000001	-94.51328099999999
232	El Centro, CA	CA	131981	131259	131830	134649	138393	141834	144117	144604	145075	146433	148456	150076	151486	153455	154089	152943	150656	32.792	-115.5630514
233	Terre Haute, IN	IN	53079	53178	53387	53614	53814	54024	54226	54434	54506	54608	54635	54726	54754	54788	54721	54719	54690	39.4667034	-87.41390919999999
234	Muskegon, MI	MI	81262	82448	83404	84366	85167	86066	86742	87431	87769	88409	89153	90086	90787	91434	91976	92542	93085	43.2341813	-86.24839209999999
235	East Stroudsburg, PA	PA	76896	77395	78061	78847	79797	80482	80945	81165	81030	81402	82142	82800	83231	83647	83942	83856	83668	41.0030522	-75.1817547
236	Sioux City, IA	IA	59404	60421	60996	61636	61647	62028	62049	62248	62451	62816	63031	63238	63462	63569	63958	64287	64929	42.4963416	-96.40494079999999
237	Greenville, NC	NC	44381	44576	44313	43815	43514	43433	43170	42708	42278	42233	42552	43151	43664	44207	45014	46179	47402	35.612661	-77.3663538
238	Waterloo, IA	IA	61617	62127	62434	62166	62464	62487	63057	63319	63586	63870	64573	64977	65124	65320	65409	66004	66244	42.492786	-92.34257749999999
239	Oshkosh, WI	WI	85363	85624	86062	86363	86530	87043	87868	89170	90160	91172	91566	91993	92286	92896	93549	93939	94226	44.0247062	-88.5426136
240	Yuba City, CA	CA	175553	176757	177646	178370	180019	182203	184060	183789	183859	183400	184414	185868	187043	187799	188959	189962	190849	39.1404477	-121.6169108
241	Abilene, TX	TX	69296	68900	68820	69593	70634	72184	73674	75263	76181	76621	77035	77431	78051	78882	80063	80607	80867	32.4487364	-99.73314390000002
242	Columbia, MO	MO	124646	126078	126970	127364	128404	129641	130531	130601	130982	131919	132995	133297	133072	133195	133683	134852	135359	38.9517053	-92.3340724
243	Dover, DE	DE	147459	147051	146808	146352	145438	144973	144444	145157	145327	144815	143478	142331	141520	141504	141163	141581	142996	39.158168	-75.5243682
244	Eau Claire, WI	WI	104392	104404	104873	105271	105788	106394	106944	107094	107200	107328	108030	108727	109630	110512	111278	111884	112348	44.811349	-91.4984941
245	Janesville, WI	WI	96985	97795	98074	98467	98749	98613	97745	97020	97347	98037	99172	99854	99977	100164	100512	100867	101067	42.6827885	-89.0187222
246	Jackson, MI	MI	80799	80691	81019	81561	82563	83072	83607	84065	84233	84527	85274	85918	86633	87573	88122	88587	88416	42.245869	-84.40134619999999
247	Punta Gorda, FL	FL	98708	100039	100957	101656	101496	101523	101938	102127	102218	102300	102769	103295	103391	103130	103185	103494	104090	26.9297836	-82.0453664
248	Bloomington, IN	IN	121440	122578	124147	125131	126399	127409	128551	129219	130173	130872	131461	131655	131771	132124	132092	132269	132236	39.165325	-86.52638569999999
249	Pueblo, CO	CO	79493	79996	80745	81895	82878	84313	84936	84879	84537	84738	85561	86448	87297	88063	88659	88937	89224	38.2544472	-104.6091409
250	Billings, MT	MT	162723	163095	162546	162769	162861	163160	162883	163164	163718	164934	166236	167466	168611	169660	171483	173460	175648	45.7832856	-108.5006904
251	Bowling Green, KY	KY	82447	83678	84728	85247	85649	86224	87049	87773	88574	88698	88813	88366	88327	87978	87817	87933	88024	36.9685219	-86.4808043
252	Bend, OR	OR	282234	280005	281789	282198	285141	285817	287619	289599	292123	293420	294289	295383	298355	302806	305433	308331	309506	44.0581728	-121.3153096
253	Albany, GA	GA	68957	69349	69639	69889	70038	70232	70438	70614	70797	70784	70621	70302	70181	70048	70026	69761	69616	31.5785074	-84.15574099999999
254	Vineland, NJ	NJ	78098	77070	76599	76488	75410	74186	72366	71407	70408	70307	70429	71139	71676	72427	73069	73400	74417	39.4863773	-75.02596369999999
255	Niles, MI	MI	116446	116401	115974	116509	117169	118005	119075	120411	121593	122796	123269	123375	123983	124749	125559	125697	125985	41.8297694	-86.2541768
256	Kahului, HI	HI	565100	566397	567664	570249	575299	580972	586426	589490	591431	592845	594682	596923	599665	601637	603021	604200	603331	20.8893351	-156.4729469
257	Ottawa, IL	IL	55083	55703	56309	56967	57409	57802	57926	57648	57436	57396	57962	58488	58685	58622	58724	58768	58825	41.3455892	-88.8425769
258	State College, PA	PA	165978	167485	169283	169106	168450	167933	167734	168249	169559	172015	174493	176463	176601	176303	175619	176088	176493	40.7933949	-77.8600012
259	Bangor, ME	ME	100348	101507	101943	102363	102759	102743	102673	102608	103147	104140	105115	105933	106220	106097	106256	106594	106951	44.8016128	-68.7712257
260	Alexandria, LA	LA	57467	57421	57334	57365	57088	56936	56829	56805	56778	56527	56427	56354	56531	56613	56743	56822	57045	31.3112936	-92.4451371
261	Decatur, AL	AL	91131	92243	92149	91409	91023	91681	92887	93593	94029	94616	94989	94750	94318	94244	95397	97113	98748	34.6059253	-86.9833417
262	Hanford, CA	CA	101388	101343	101665	103708	105983	108089	109738	111449	113218	114970	116778	118401	120427	122211	123791	124414	124894	36.3274502	-119.6456844
263	Iowa City, IA	IA	134783	135477	135581	135476	134237	133258	132848	132965	133304	133244	132940	132935	132804	132457	132181	131909	132135	41.6611277	-91.5301683
264	Rocky Mount, NC	NC	87444	87547	87337	87106	87278	87585	88019	88058	88127	88121	88225	88288	88382	88504	88956	89524	89694	35.9382103	-77.7905339
265	Monroe, MI	MI	89520	90274	90630	92012	92343	91856	91091	91201	92450	93422	94398	94587	94984	94537	94578	94339	94471	41.9164343	-83.3977101
266	Wichita Falls, TX	TX	44190	44275	43948	43780	43908	43995	44018	43708	43430	42780	41932	41057	40583	40192	40057	39712	39026	33.9137085	-98.4933873
267	Burlington, NC	NC	77308	77363	78364	79811	80566	80921	80598	80992	81367	82061	82129	82356	82264	82704	82578	82249	82081	36.0956918	-79.43779909999999
268	Madera, CA	CA	164312	165882	167227	166789	166663	167689	170658	173484	176191	177807	178825	180555	182554	184241	186221	188840	191365	36.9613356	-120.0607176
269	Jefferson City, MO	MO	91902	93145	93690	94163	93744	93862	93446	93459	92817	92707	92732	92806	92588	91854	91295	90820	90478	38.57670170000001	-92.1735164
270	Chambersburg, PA	PA	130610	131350	132592	133841	134521	135268	135655	136230	137150	137898	138275	137971	137145	136233	135294	134728	134078	39.9375911	-77.6611022
271	Texarkana, TX	TX	57357	57409	57374	57427	57803	58180	58465	58505	58823	59258	59620	59822	59788	59754	59636	59578	59334	33.425125	-94.04768820000001
272	Elizabethtown, KY	KY	75018	76523	77727	78822	79828	80651	81695	82578	83799	84135	84616	84052	83281	82302	81104	79799	78495	37.7030646	-85.8649408
273	Pottsville, PA	PA	58447	58985	59293	59586	59442	59509	59373	59756	59571	59386	59416	59353	59002	58322	57924	57634	57682	40.6856456	-76.195499
274	Wheeling, OH	OH	45418	45657	45922	46240	46491	46658	46757	46926	47116	47350	47453	47575	47672	47809	47921	48024	48191	40.0639616	-80.7209149
275	Florence, AL	AL	63429	63672	63740	63606	62756	62275	61494	61336	60934	60760	60393	60220	60056	60083	60130	59938	60140	34.79981	-87.677251
276	Grand Junction, CO	CO	168194	168244	169831	171661	175341	177874	180481	181743	183498	184592	186471	188752	191843	194875	196524	197445	196772	39.0638705	-108.5506486
277	Concord, NH	NH	156261	157748	158041	157758	157751	158538	160185	161232	162428	163505	164697	165927	166677	167785	169237	170541	171356	43.2081366	-71.5375718
278	Dothan, AL	AL	45286	45098	44806	44570	44876	44682	44615	44048	44023	43887	44044	43914	43666	43792	44077	44514	44855	31.2232313	-85.3904888
279	Santa Fe, NM	NM	306200	310452	312569	313913	316624	320282	322737	325051	326946	329387	330297	330217	328830	328064	328419	328433	327531	35.6869752	-105.937799
280	Johnstown, PA	PA	37887	38537	38426	38322	38150	38442	38906	39421	39542	39630	39427	38973	38594	38386	38555	38719	38741	40.32674069999999	-78.9219698
281	Traverse City, MI	MI	186693	187295	188500	189875	190305	190245	190156	190511	191291	191959	193027	194071	195798	197213	198278	199135	201526	44.7630567	-85.62063169999999
282	Hattiesburg, MS	MS	86928	87401	87794	88224	88724	89459	89818	89838	89417	89219	88862	88778	88717	88974	89323	89663	90123	31.3271189	-89.29033919999999
283	Dalton, GA	GA	54894	55167	55647	56013	56541	56735	57002	57347	57944	58283	58319	58094	58001	58113	57930	57684	57388	34.7698021	-84.9702228
284	Midland, TX	TX	169637	172628	174899	174272	174869	174905	174790	174432	173545	172992	171972	169880	166134	162519	160658	160877	160338	31.9973456	-102.0779146
285	Homosassa Springs, FL	FL	73079	73861	73825	73406	73452	73762	74413	74708	75345	75783	76468	76689	77070	77556	78745	80298	81525	28.8037059	-82.5761369
286	Auburn, AL	AL	135983	137203	137422	138078	139069	140748	142366	143275	143296	143840	144921	145587	146620	147019	147961	148714	149514	32.6098566	-85.48078249999999
287	Valdosta, GA	GA	81562	82040	82812	82587	82569	82836	83407	83886	84003	84421	84410	84949	84886	85249	85252	85932	86561	30.8327022	-83.2784851
288	Coeur d'Alene, ID	ID	271658	274116	277909	280348	283516	284000	284619	286005	289783	293490	294573	294694	295605	297087	298084	299735	300925	47.6734632	-116.7812225
289	Springfield, OH	OH	48402	48377	48438	48775	49564	50410	51071	51328	51478	51583	51668	52007	52566	53360	54059	54669	55010	39.9242266	-83.8088171
290	St. George, UT	UT	146382	146947	147880	149017	150242	151360	152263	153227	154278	155269	156446	157986	159347	160649	161747	163284	164883	37.0965278	-113.5684164
291	Vero Beach, FL	FL	94229	93553	93154	93129	93676	94061	94080	94219	94528	95105	95275	95308	95375	96124	96818	97393	97702	27.6386434	-80.39727359999999
292	Odessa, TX	TX	133875	134364	135027	135607	136329	137103	137391	136770	136895	137805	139966	141497	141290	139518	136910	134312	131927	31.8456816	-102.3676431
293	Napa, CA	CA	619917	621556	618469	612947	610271	610009	609830	608297	608169	607630	609009	608759	608627	609402	612842	619001	623770	38.2975381	-122.286865
294	Tupelo, MS	MS	82164	82361	82391	82530	82730	83103	83471	83755	83882	83730	83734	83660	83803	83805	84020	84202	84378	34.2576066	-88.7033859
295	Battle Creek, MI	MI	63658	63659	64009	64422	64890	65208	65219	65313	65426	65737	65759	65802	66084	66717	67209	67703	68214	42.3211522	-85.17971419999999
296	Jamestown, NY	NY	79559	80090	80463	80934	81389	82135	82867	83533	84241	84826	85412	86102	87093	88265	89534	90589	91637	42.0970023	-79.23532589999999
297	Eureka, CA	CA	255479	255983	255466	255477	253246	252430	250655	252098	253055	254298	254231	253463	252407	250009	248585	247638	248490	40.8020712	-124.1636729
298	Rapid City, SD	SD	141080	141654	142556	143412	143891	143794	144387	145158	146210	146384	146790	146501	145925	145168	144309	143265	141693	44.0805434	-103.2310149
299	Flagstaff, AZ	AZ	193245	193250	192336	191085	190897	191647	192739	193031	193059	193844	194862	195915	196685	197682	199649	202305	204733	35.1982836	-111.651302
300	Lumberton, NC	NC	29036	29301	29560	29594	29453	29431	29593	29736	29869	29975	29976	29984	29994	29884	29723	29711	29840	34.6182199	-79.0086424
301	Wausau, WI	WI	78746	79270	79677	80251	80936	81402	81654	81873	82065	82624	83262	83572	83730	83879	84053	84150	84130	44.9591352	-89.6301221
302	La Crosse, WI	WI	113944	114555	115613	116558	117495	118207	118602	119121	119556	120460	121017	121535	122046	122565	122627	122784	122630	43.8137751	-91.25190169999999
303	Lebanon, PA	PA	126583	127104	127138	127803	128399	129341	130333	131647	132793	133745	134058	134653	135620	136581	137479	138267	139088	40.3409251	-76.4113497
304	Idaho Falls, ID	ID	124300	125678	127026	128051	129086	130169	131099	132162	133205	134383	135453	136606	137653	138918	140227	141479	142619	43.49266069999999	-112.0407584
305	Sierra Vista, AZ	AZ	87546	88551	89888	91477	94001	95969	98136	99823	101158	102391	103490	104536	105207	105750	106044	105952	105200	31.5455001	-110.2772856
306	Pittsfield, MA	MA	140298	141657	142677	141974	142919	144328	145889	145640	145511	145986	147040	147906	148041	147842	147561	147609	146784	42.4500845	-73.2453824
307	Lawton, OK	OK	29859	29727	29299	28835	28850	28689	28677	28492	28546	28577	28780	29025	29355	29920	30860	32014	33104	34.6035669	-98.39592909999999
308	Farmington, NM	NM	144580	145002	145597	146371	146995	148031	148712	149403	149921	150819	151327	152352	152913	153199	152767	151871	151091	36.72805830000001	-108.2186856
309	Jackson, TN	TN	44961	44892	45288	45380	45059	44749	44099	43785	43365	43504	43733	44417	44505	44766	44691	44903	45193	35.6145169	-88.81394689999999
310	Morgantown, WV	WV	95050	95166	95600	96116	96624	96930	97298	97624	98045	98307	98304	98315	98321	98283	97876	97482	97100	39.629526	-79.95589679999999
311	Glens Falls, NY	NY	118612	118793	119119	119484	120021	120636	120972	121145	121269	121500	121434	121384	121445	121622	121713	121680	121222	43.3095164	-73.6440058
312	Winchester, VA	VA	130970	131100	131061	131516	131726	132117	131990	131901	132021	132303	132084	131701	131228	131427	131821	132139	132484	39.1856597	-78.1633341
313	St. Joseph, MO	MO	52168	52334	52538	53061	53355	53481	53508	53590	53751	53837	53973	53924	53957	53902	53761	53455	53314	39.7674578	-94.84668099999999
314	Altoona, PA	PA	84169	85150	84682	84431	83967	84567	84572	84793	84958	85106	85671	86180	86728	87174	88303	88861	89451	40.5186809	-78.3947359
315	New Bern, NC	NC	117381	117419	117481	117601	117994	118604	119319	119758	119837	119712	119499	119734	120010	120399	120612	120977	121115	35.108493	-77.04411429999999
316	Carbondale, IL	IL	46392	46559	46827	46854	47065	47349	47679	47908	48025	48325	48523	48672	48627	48629	48620	48642	48507	37.7272727	-89.2167501
317	London, KY	KY	46303	46680	46825	46982	47066	47424	47682	47931	48104	48303	48709	48936	49115	49111	49326	49352	49404	37.1289771	-84.08326459999999
318	Logan, ID	UT	190502	192034	193474	194789	196421	198157	200286	202073	203623	203920	204254	204386	205267	205619	206209	206826	207633	41.7369803	-111.8338359
319	Harrisonburg, VA	VA	144657	144913	144917	145290	144506	142672	140474	139631	139612	139681	139361	138853	138710	138727	138845	138741	139388	38.4495688	-78.8689155
320	Beckley, WV	WV	44945	44792	44599	44569	44817	45070	44900	44912	45038	45996	46749	47394	47452	47530	47608	47716	47826	37.7781702	-81.1881557
321	Mansfield, OH	OH	32388	32975	33611	34133	34530	34935	35456	36062	36735	37253	37661	37984	38157	38315	38497	38672	38834	40.75839	-82.5154471
322	Weirton, OH	OH	41751	41987	42201	42587	42866	43134	43448	43724	43993	44298	44531	44639	44605	44322	44047	43654	43324	40.3697905	-80.63396379999999
323	Goldsboro, NC	NC	42858	42372	41915	42129	42143	41913	41065	40717	40781	41379	41755	42427	43261	44560	46000	47188	48511	35.3848841	-77.9927651
324	Augusta, ME	ME	140211	140645	140882	141891	142324	143500	144240	145437	146591	147214	147837	148525	149715	150921	152383	153274	154456	44.3106241	-69.7794897
325	Hammond, LA	LA	117606	118661	119155	119071	118598	118277	117359	116389	115215	114657	114311	113614	112132	110969	110547	110711	110665	30.5043583	-90.46119949999999
326	Jonesboro, AR	AR	49253	49826	50926	51921	52227	52392	52982	53714	54647	55393	55977	56628	57447	58075	58491	58849	59637	35.84229670000001	-90.704279
327	Sherman, TX	TX	97310	96813	96777	98790	100193	101316	101161	102018	102719	102787	102245	101791	102529	103612	104463	104044	104153	33.6356618	-96.6088805
328	Anniston, AL	AL	46486	46572	46370	46234	46216	46408	46652	46968	47294	47601	47680	47652	47556	47673	48020	48401	48770	33.6598257	-85.8316318
329	Staunton, VA	VA	115150	115479	115656	116044	116446	117003	117361	117634	117870	117982	117849	117573	117648	117852	118150	118345	118523	38.149576	-79.0716958
330	Muncie, IN	IN	37991	38643	38927	38724	38476	38123	38036	37943	38029	38210	38299	38266	38139	38060	38186	38562	38973	40.1933767	-85.3863599
331	Mount Vernon, WA	WA	275114	278555	280209	281506	282869	284203	285019	285499	286798	288455	290585	291569	291289	291150	291448	292444	292644	48.4201105	-122.3374543
332	Albany, OR	OR	178578	181024	182809	185126	187057	189348	191574	193687	194979	195998	196827	198069	198935	199521	200559	201138	202198	44.6365107	-123.1059282
333	Watertown, NY	NY	98333	98613	99381	100122	100855	100975	100857	100835	101272	102268	103047	103358	103487	103418	103028	102552	101899	43.9747838	-75.91075649999999
334	Williamsport, PA	PA	91755	91517	91099	90294	89511	88991	88370	88299	87837	87849	87596	87645	87482	87524	87729	88590	89514	41.2411897	-77.00107860000001
335	Cleveland, TN	TN	98337	99000	100142	101049	100985	100321	99439	99319	99807	100467	101283	102162	103499	104801	105982	107235	109409	35.1595182	-84.8766115
336	Sheboygan, WI	WI	98698	98920	98869	98595	98874	99081	99541	100229	100521	101047	100981	100546	100328	100743	100936	100842	100014	43.7508284	-87.71453
337	Bismarck, ND	ND	123816	124701	125104	124593	123615	123023	122952	122958	123241	123363	123306	123101	122144	121288	120668	120272	120038	46.8083268	-100.7837392
338	Owensboro, KY	KY	42037	42483	42845	43245	43588	44074	44338	44524	44735	45070	45349	45616	45839	46233	46695	47143	47444	37.7719074	-87.1111676
339	Dunn, NC	NC	64616	65299	65522	65198	65137	65563	65720	65492	65534	65636	66560	67200	67699	68084	68740	69667	70641	35.3062743	-78.6089028
340	Wooster, OH	OH	126206	126165	126275	125799	125587	125098	125172	125213	125858	126526	126954	127259	127780	128922	130235	131913	133140	40.8050565	-81.935143
341	Morristown, TN	TN	89598	90715	92024	92736	93661	94224	95213	96233	97305	98448	99758	100165	100274	100075	99919	100094	99992	36.2139814	-83.29489219999999
342	Kankakee, IL	IL	69706	70238	69902	69293	69053	68863	68324	68181	68323	68797	68414	67756	66533	66177	66348	66749	66831	41.1200325	-87.8611531
343	Brunswick, GA	GA	158859	160760	161534	161455	160603	160474	160542	160918	160871	161103	160935	161033	160795	160274	160482	161087	162123	31.1499528	-81.49148939999999
344	Ogdensburg, NY	NY	57003	57591	58042	58373	58561	58762	59075	59523	59975	60344	60657	60970	61220	61351	61533	61476	61263	44.6942291	-75.48633640000001
345	San Angelo, TX	TX	90000	89772	90101	90042	89979	89600	89525	89609	90004	89910	89571	88944	88888	89042	89556	90415	91654	31.4637723	-100.4370375
346	Michigan City, IN	IN	99285	99918	100182	100372	100903	101644	102295	102430	102668	103007	103367	103428	103713	104111	104803	105349	105643	41.70753939999999	-86.8950297
347	Holland, MI	MI	148614	149146	149436	149322	149040	148817	148842	149173	150002	150903	151809	152654	153539	154104	155085	156780	158789	42.7875235	-86.1089301
348	Wenatchee, WA	WA	216841	218300	219092	221650	223530	225827	227762	230638	233265	235495	236885	238625	240573	242679	244873	246288	248140	47.4234599	-120.3103494
349	Lawrence, KS	KS	121062	121704	121332	120117	120149	121317	123597	125928	128419	130660	132060	133584	134715	136489	138394	140704	141708	38.9716689	-95.2352501
350	Decatur, IL	IL	38810	38891	38458	37922	37563	37501	37612	37531	37277	37041	36771	36333	36284	36521	36914	37217	37352	39.8403147	-88.9548001
351	Missoula, MT	MT	235409	236151	235606	235439	234661	234179	233946	235073	235996	236746	236998	237893	239517	241710	244403	247099	250103	46.8721284	-113.9940314
